Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Approved LMIAs,Approved Positions,NOC Code
Quebec,Low Wage,Automne Boulangerie Inc,"Montréal,  QC H2S 2G8",Retail sales supervisors,Unknown,1,1,6211
Quebec,Low Wage,Automobiles Du Boulevard 2000 Inc,"Notre-Dame-Des-Pins,  QC G0M 1K0","Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,7321
Quebec,Low Wage,Automobiles F.M. Inc.,"St-Hyacinthe,  QC J2S 1H5",Motor vehicle body repairers,Sole Proprietorship,1,1,7322
Quebec,Low Wage,Automobiles Pierre Methot,"Victoriaville,  QC G6P 4B8","Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,2,2,7321
Quebec,Low Wage,Automobilia Inc,"St Laurent,  QC H4R 1J7",Upholsterers,Unknown,1,1,6345
Quebec,Low Wage,Avironex Inc,"Laval,  QC H7T 0J3","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Corporation,1,1,1215
Quebec,Low Wage,Aw Ange Gardien,"Ange Gardien,  QC J0E 1E0",Cooks,Corporation,1,1,6322
Quebec,Low Wage,Aw Ste-Julie Et Aw Varennes,"Mont-Saint-Hilaire,  QC J3H 3K9",Food service supervisors,Corporation,1,3,6311
Quebec,Low Wage,Aya Services Inc.,"Candiac,  QC J5R 6P5",Cashiers,Corporation,1,1,6611
Quebec,Low Wage,Aylan Inc.,"Québec,  QC G2C 1G2",Delivery and courier service drivers,Corporation,1,2,7514
Quebec,Low Wage,Babazoo Republic Apparel,"Montreal,  QC H1Z 4K6",Purchasing and inventory control workers,Unknown,1,1,1524
Quebec,Low Wage,Baguette Brochette Inc.,"Montréal,  QC H2W 2M2","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,6711
Quebec,Low Wage,Baie Saint Paul Chrysler Inc,"Baie Saint Paul,  QC G3Z 2X7",Motor vehicle body repairers,Unknown,1,1,7322
Quebec,Low Wage,Bain Magique / Bath Fitter,"Saint-Eustache,  QC J7P 2P3",Plastics processing machine operators,Unknown,1,7,9422
Quebec,Low Wage,Balaitech Plus,"St-Roch De L'Achigan,  QC J0K 3H0","Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1,1215
Quebec,Low Wage,Bali Experience Inc.,"Saint-Laurent,  QC H4R 2R9",Massage therapists,Unknown,1,1,3236
Quebec,Low Wage,Balnea Inc.,"Bromont,  QC J2L 2S5",Customer and information services supervisors,Unknown,1,1,6314
Quebec,Low Wage,Balnea Inc.,"Bromont,  QC J2L 2S5",Cooks,Unknown,1,1,6322
Quebec,Low Wage,Balnea Inc.,"Bromont,  QC J2L 2S5",Light duty cleaners,Unknown,3,3,6731
Quebec,Low Wage,Balnea Inc.,"Bromont,  QC J2L 2S5","Janitors, caretakers and building superintendents",Unknown,2,2,6733
Quebec,Low Wage,Balthazar Café Inc.,"Val-D'Or,  QC J9P 1T2",Cooks,Unknown,1,2,6322
Quebec,Low Wage,Balthazar Café Inc.,"Val-D'Or,  QC J9P 1T2","Food counter attendants, kitchen helpers and related support occupations",Unknown,2,3,6711
Quebec,Low Wage,Bar Sante Express Inc,"Montréal,  QC H1R 1E2","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,6711
Quebec,Low Wage,Barbies Resto Bar Grill Lévis,"Lévis,  QC G6V 6E2",Food and beverage servers,Corporation,1,2,6513
Quebec,Low Wage,Barbies Resto Bar Grill Lévis,"Lévis,  QC G6V 6E2","Food counter attendants, kitchen helpers and related support occupations",Corporation,1,1,6711
Quebec,Low Wage,Barrette Bois Inc.,"Saint-Jean-Sur-Richelieu,  QC J3B 8K1",Woodworking machine operators,Unknown,2,25,9437
Quebec,Low Wage,Barrette Structural Inc - Fermes De Toits Et Murs,"Trois-Rivières,  QC G8V 0A8",Woodworking machine operators,Unknown,2,11,9437
Quebec,Low Wage,Barrette Structural Inc - Murs Drummondville,"Drummondville,  QC J2B 6X9",Woodworking machine operators,Unknown,1,4,9437
Quebec,Low Wage,Basilico Pizza And Pasta,"Verdun,  QC H3E 2B5",Restaurant and food service managers,Unknown,1,1,0631
Quebec,Low Wage,Bati Vert Construction Inc.,"Vaudreuil,  QC J7V 0A6",Painters and decorators (except interior decorators),Unknown,1,1,7294
Quebec,Low Wage,Bazar Café Inc,"Montréal,  QC H2S 1R6",Cooks,Unknown,1,1,6322
Quebec,Low Wage,Bégin & Bégin Inc,"Lots-Renversés,  QC G0L 1V0","Labourers in wood, pulp and paper processing",Unknown,1,2,9614
Quebec,Low Wage,Benoit Vigneault Ltée,"Havre Saint Pierre,  QC G0G 1P0",Storekeepers and partspersons,Corporation,1,1,1522
Quebec,Low Wage,Bercomac,"Adstock,  QC G0N 1S0",Welders and related machine operators,Corporation,1,1,7237
Quebec,Low Wage,Berkayly - 5 Inc,"Montréal,  QC H1P 1E1",Specialized cleaners,Unknown,1,2,6732
Quebec,Low Wage,Bernard Breton Inc.,"St-Narcisse-De-Beaurivage,  QC G0S 1W0",Light duty cleaners,Corporation,1,1,6731
Quebec,Low Wage,Bertrand Paysagiste Inc,"Donnacona,  QC G3M 0B5",Landscaping and grounds maintenance labourers,Unknown,1,1,8612
Quebec,Low Wage,Bessette Automobiles Inc,"Cowansville,  QC J2K 1N4","Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,7321
Quebec,Low Wage,Best Western Laval-Montreal,"Laval,  QC h7l 3h7",Cooks,Corporation,1,1,6322
Quebec,Low Wage,Béton Bolduc Inc.,"Sainte-Marie,  QC G6E 1G8",Construction millwrights and industrial mechanics,Unknown,1,1,7311
Quebec,Low Wage,Béton Brunet Ltée,"Salaberry-De-Valleyfield,  QC J6S 1C2",Plastics processing machine operators,Unknown,1,1,9422
Quebec,Low Wage,Béton Dunbrick,"Chicoutimi,  QC G7J 4N3",Carpenters,Unknown,1,1,7271
Quebec,Low Wage,Béton Estampé Mario Fréchette Inc,"Victoriaville,  QC G6R 0W5",Residential and commercial installers and servicers,Unknown,1,1,7441
Quebec,Low Wage,Béton Préfabriqué Du Québec Inc.,"Baie-Comeau,  QC G4Z 3A8","Janitors, caretakers and building superintendents",Corporation,1,1,6733
Quebec,Low Wage,Béton Préfabriqué Du Québec Inc.,"Baie-Comeau,  QC G4Z 3A8",Carpenters,Corporation,1,3,7271
Quebec,Low Wage,Béton Provincial Ltée,"Québec,  QC G2K 1S9","Concrete, clay and stone forming operators",Unknown,1,2,9414
Quebec,Low Wage,Bhs Composites Inc.,"Sherbrooke,  QC J1L 1V8","Plastic products assemblers, finishers and inspectors",Unknown,2,2,9535
Quebec,Low Wage,Bibeau Moto Sport Inc,"Val-D'Or,  QC J9P 1M5","Motorcycle, all-terrain vehicle and other related mechanics",Unknown,1,1,7334
Quebec,Low Wage,Bijouterie Lavigueur Ltee,"St-Hubert,  QC J4T 2H4","Jewellers, jewellery and watch repairers and related occupations",Unknown,1,1,6344
Quebec,Low Wage,Bio Biscuit,"Saint-Hyacinthe,  QC J2S 1H5","Process control and machine operators, food, beverage and associated products processing",Unknown,1,2,9461
Quebec,Low Wage,Bio Biscuit,"Saint-Hyacinthe,  QC J2S 1H5","Labourers in food, beverage and associated products processing",Unknown,2,3,9617
Quebec,Low Wage,Bio-Alimo Inc,"Thetford Mines,  QC G6H 4J5","Labourers in food, beverage and associated products processing",Unknown,1,1,9617
Quebec,Low Wage,Bioreversa,"Trois-Rivières,  QC G9A 5C9","Labourers in food, beverage and associated products processing",Unknown,1,2,9617
Quebec,Low Wage,Biscuits Leclerc Ltd,"St-Augustin-De-Desmaure,  QC G3A 1T1","Process control and machine operators, food, beverage and associated products processing",Corporation,1,1,9461
Quebec,Low Wage,Biscuits Leclerc Ltée,"Saint-Augustin-De-Desmaures,  QC G3A 1T1",Light duty cleaners,Unknown,1,1,6731
Quebec,Low Wage,Bistango Inc,"Québec,  QC G1S 0B1",Food service supervisors,Unknown,1,1,6311
Quebec,Low Wage,Bistango Inc,"Québec,  QC G1S 0B1",Chefs,Unknown,1,1,6321
Quebec,Low Wage,Bistro 4 Saisons,"Magog,  QC J1X 0J1",Chefs,Unknown,1,1,6321
Quebec,Low Wage,Bistro Bar L'Atelier Inc.,"Québec,  QC G1R 2K5",Chefs,Unknown,1,1,6321
Quebec,Low Wage,Bistro Bar L'Atelier Inc.,"Québec,  QC G1R 2K5",Cooks,Unknown,2,2,6322
Quebec,Low Wage,Bistro Bar L'Atelier Inc.,"Québec,  QC G1R 2K5",Food and beverage servers,Unknown,1,1,6513
Quebec,Low Wage,Bistro Ophelia Inc.,"Québec,  QC G1R 2K5",Cooks,Unknown,2,4,6322
Quebec,Low Wage,Bleuets Mistassini Ltée,"Dolbeau-Mistassini,  QC G8L 5M3",Material handlers,Unknown,3,11,7452
Quebec,Low Wage,Bleuets Mistassini Ltée,"Dolbeau-Mistassini,  QC G8L 5M3","Process control and machine operators, food, beverage and associated products processing",Unknown,3,10,9461
Quebec,Low Wage,Bleuets Mistassini Ltée,"Dolbeau-Mistassini,  QC G8L 5M3","Labourers in food, beverage and associated products processing",Unknown,2,4,9617
Quebec,Low Wage,Bm Service De Traiteur Inc.,"St-Henri,  QC G0R 3E0",Cooks,Unknown,1,1,6322
Quebec,Low Wage,Boa-Franc S.E.N.C.,"Saint-Georges,  QC G5Y 8J5",Machinists and machining and tooling inspectors,Unknown,1,1,7231
Quebec,Low Wage,Boheme-Aventure Photo Inc,"Tadoussac,  QC G0T 2A0",Cooks,Unknown,1,1,6322
Quebec,Low Wage,Bois Daaquam Inc.,"Saint-Just-De-Bretenières,  QC G0R 3H0","Labourers in wood, pulp and paper processing",Unknown,1,8,9614
Quebec,Low Wage,Bois De Foyer Chaudière-Appalaches,"St-Pamphile,  QC G0R 3X0",Sawmill machine operators,Corporation,1,3,9431
Quebec,Low Wage,Bois Weedon Inc.,"Weedon,  QC J0B 3J0","Labourers in wood, pulp and paper processing",Unknown,1,4,9614
Quebec,Low Wage,Boisclair Et Fils Inc,"Piedmont,  QC J0R 1K0",Drafting technologists and technicians,Unknown,1,2,2253
Quebec,Low Wage,Boiseries Raymond S.E.C.,"Montréal,  QC H1E 2L6",Cabinetmakers,Unknown,3,3,7272
Quebec,Low Wage,Bonprix Electromenagers Inc.,"Montréal,  QC H1N 3T4",Retail sales supervisors,Unknown,1,1,6211
Quebec,Low Wage,Bonprix Electromenagers Inc.,"Montréal,  QC H1N 3T4",Material handlers,Unknown,1,1,7452
Quebec,Low Wage,Boréal Paysagiste,"Saint-Alexandre,  QC J0J 1S0",Landscaping and grounds maintenance labourers,Corporation,2,2,8612
Quebec,Low Wage,Boréalait Inc.,"St-Félix-De-Dalquier,  QC J0Y 1G0","Labourers in food, beverage and associated products processing",Unknown,1,1,9617
Quebec,Low Wage,Botaris Inc.,"Longueuil,  QC J4K 1J6",Landscaping and grounds maintenance labourers,Unknown,1,5,8612
Quebec,Low Wage,Bouchees Bresil Gourmet Inc.,"St-Eustache,  QC J7P 4T6",Cooks,Sole Proprietorship,1,1,6322
Quebec,Low Wage,Bouchées Surettes Inc.,"Laval,  QC H7T 2Z7",Cooks,Unknown,1,1,6322
Quebec,Low Wage,Boucherie & Grillades Dhaybi,"Terrebonne,  QC J7M 2C1","Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,1,6331
Quebec,Low Wage,Boucherie B. Poirier Inc,"St-Louis-De-Gonzague,  QC J0S 1T0","Industrial butchers and meat cutters, poultry preparers and related workers",Unknown,1,2,9462
Quebec,Low Wage,Boucherie Et Épicerie La Méditerranéenne,"Montréal,  QC H4L 3M3","Butchers, meat cutters and fishmongers - retail and wholesale",Corporation,1,1,6331
Quebec,Low Wage,Boucherie Fortin Inc.,"Montréal-Nord,  QC H1G 1T4",Retail salespersons,Unknown,1,1,6421
Quebec,Low Wage,Boucherie Le Cro Magnon Inc.,"Laval,  QC H7E 2C6","Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,1,6331
Quebec,Low Wage,Boucherie Les Trois P'Tits Cochons Inc,"Baie-Comeau,  QC G5C 1L8","Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,1,6331
Quebec,Low Wage,Boucherie Tendre Gourmet Inc.,"Candiac,  QC J5R 3L4","Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,2,6331
Quebec,Low Wage,Boucherie Walima Inc,"Montrèal,  QC H2A 1X2",Food service supervisors,Unknown,1,1,6311
Quebec,Low Wage,Boulangerie Artisanale La Boite A Pain,"Québec,  QC G1K 3B1",Cooks,Unknown,1,3,6322
Quebec,Low Wage,Boulangerie Casse Noisette Inc.,"Dorval,  QC H9P 1A3","Process control and machine operators, food, beverage and associated products processing",Unknown,1,1,9461
Quebec,Low Wage,Boulangerie Castel,"Montréal,  QC H2A 1X1",Cooks,Corporation,1,1,6322
Quebec,Low Wage,Boulangerie Castel,"Montréal,  QC H2A 1X1",Bakers,Corporation,1,3,6332
Quebec,Low Wage,Boulangerie De Froment Et De Sève,"Montréal,  QC H2G 1N3","Professional occupations in advertising, marketing and public relations",Corporation,1,1,1123
Quebec,Low Wage,Boulangerie De Froment Et De Sève,"Montréal,  QC H2G 1N3",Food service supervisors,Corporation,1,1,6311
Quebec,Low Wage,Boulangerie Du Lac Inc,"Lac Beauport,  QC G3B 0X1",Retail sales supervisors,Unknown,1,1,6211
Quebec,Low Wage,Boulangerie Et Pâtisserie Le Croustillant Inc.,"Quebec,  QC G1X 1R4",Cooks,Unknown,1,1,6322
Quebec,Low Wage,Boulangerie Et Pâtisserie Le Croustillant Inc.,"Quebec,  QC G1X 1R4",Bakers,Unknown,1,1,6332
Quebec,Low Wage,Boulangerie Kiri Inc.,"Sherbrooke,  QC J1N 0A7",Delivery and courier service drivers,Unknown,1,1,7514
Quebec,Low Wage,Boulangerie L'Art Blanc Inc,"Laval,  QC H7P 5Z7",Bakers,Corporation,1,1,6332
Quebec,Low Wage,Boulangerie Lemieux Inc.,"Princeville,  QC G6L 3V8",Bakers,Unknown,1,1,6332
Quebec,Low Wage,Boulangerie Normétal Inc.,"Normétal,  QC J0Z 3A0",Bakers,Unknown,1,2,6332
Quebec,Low Wage,Boulangerie Pâtisserie Deleziosa Québec Inc.,"Montréal,  QC H1T 1G6",Bakers,Unknown,1,1,6332
Quebec,Low Wage,Boulangerie Pâtisserie La Belle Bleue Inc.,"Montréal,  QC H2E 1T5",Customer and information services supervisors,Corporation,1,1,6314
Quebec,Low Wage,Boulangerie Pâtisserie La Belle Bleue Inc.,"Montréal,  QC H2E 1T5",Cooks,Corporation,1,1,6322
Quebec,Low Wage,Boulangerie Patisserie La Parisienne,"Montreal,  QC H2A 1Y9",Bakers,Unknown,1,1,6332
Quebec,Low Wage,Boulangerie Repentigny Inc,"Repentigny,  QC J6A 2T4",Bakers,Unknown,2,2,6332
Quebec,Low Wage,Boulangerie Repentigny Inc,"Repentigny,  QC J6A 2T4","Janitors, caretakers and building superintendents",Unknown,1,1,6733
Quebec,Low Wage,Boulangerie St-Méthode,"Adstock,  QC G0N 1S0",Shippers and receivers,Unknown,2,2,1521
Quebec,Low Wage,Boulangerie St-Méthode,"Adstock,  QC G0N 1S0","Supervisors, food, beverage and associated products processing",Unknown,2,2,9213
Quebec,Low Wage,Boulangerie/Patisserie Via Roma,"Mirabel,  QC J7J 0S1",Cooks,Unknown,1,1,6322
Quebec,Low Wage,Boulart,"Lachine,  QC H8T 3H2","Supervisors, food, beverage and associated products processing",Corporation,1,1,9213
Quebec,Low Wage,Boulet Dépôt Inc.,"Québec,  QC G1M 3R7",Landscaping and grounds maintenance labourers,Corporation,2,8,8612
Quebec,Low Wage,Bousquet Technologies,"Ste-Julie,  QC J3E 1Z9",Machinists and machining and tooling inspectors,Unknown,1,1,7231
Quebec,Low Wage,Bousquet Technologies,"Ste-Julie,  QC J3E 1Z9",Welders and related machine operators,Unknown,1,1,7237
Quebec,Low Wage,Bousquet Technologies,"Ste-Julie,  QC J3E 1Z9","Electronics assemblers, fabricators, inspectors and testers",Unknown,1,1,9523
Quebec,Low Wage,Bousquet Technologies,"Ste-Julie,  QC J3E 1Z9","Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",Unknown,1,1,9524
Quebec,Low Wage,Bousquet Technologies,"Ste-Julie,  QC J3E 1Z9",Mechanical assemblers and inspectors,Unknown,1,4,9526
Quebec,Low Wage,Boustan Saint-Hubert,"Montréal,  QC H2S 2M3",Cooks,Corporation,1,1,6322
Quebec,Low Wage,Boustan Saint-Hubert,"Montréal,  QC H2S 2M3","Food counter attendants, kitchen helpers and related support occupations",Corporation,1,1,6711
Quebec,Low Wage,Boutique D'Animaux Drummond,"Drummondville,  QC J2C 2C4",Retail sales supervisors,Corporation,1,1,6211
Quebec,Low Wage,Boutique Sébastien Lacroix Inc,"Montreal,  QC H2S 1R3",Cashiers,Unknown,1,1,6611
Quebec,Low Wage,Boutiques-Mpouma Inc,"Montreal,  QC H3G 1N2",Retail sales supervisors,Unknown,1,1,6211
Quebec,Low Wage,Brassard Pièces D'Autos,"St-Amable,  QC J0L 1W0","Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,1,7321
Quebec,Low Wage,"Brilliance Financial Solutions, Inc.","Montreal,  QC H3W 3H2",Administrative assistants,Unknown,1,1,1241
Quebec,Low Wage,Broderie Sa-Mi,"Saint-Henri,  QC G0R 3E0",Industrial sewing machine operators,Unknown,1,2,9446
Quebec,Low Wage,Bruno & Nick Inc,"Montreal,  QC H2S 3J7",Transport truck drivers,Sole Proprietorship,1,1,7511
Quebec,Low Wage,Bsf/Home Lavage De Vitres Inc.,"Montréal,  QC H1N 3C1",Specialized cleaners,Unknown,1,2,6732
Quebec,Low Wage,Buanderie Eco Square Inc.,"Montréal,  QC H1J 1N2",Administrative assistants,Unknown,1,1,1241
Quebec,Low Wage,Buanderie Eco Square Inc.,"Montréal,  QC H1J 1N2",Light duty cleaners,Unknown,1,1,6731
Quebec,Low Wage,Bureau De Change Lucky Chan Inc.,"Montréal,  QC H2S 2M3",Accounting technicians and bookkeepers,Unknown,1,1,1311
Quebec,Low Wage,Bureau De Change Lucky Chan Inc.,"Montréal,  QC H2S 2M3",Cashiers,Unknown,1,1,6611
Quebec,Low Wage,C.M.F Auto Inc.,"Montréal,  QC H1G 4S4","Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,7321
Quebec,Low Wage,Cactus,"Québec,  QC G1V 2V5",Cooks,Corporation,1,1,6322
Quebec,Low Wage,Cad Railway Industries Inc.,"Lachine,  QC H8S 1B4",Welders and related machine operators,Unknown,1,2,7237
Quebec,Low Wage,Cadexair Inc,"Varennes,  QC J3X 1P7",Specialized cleaners,Unknown,1,4,6732
Quebec,Low Wage,Café Bloc Inc.,"Montreal,  QC H2X 2S6",Retail sales supervisors,Unknown,1,1,6211
Quebec,Low Wage,Café Du Quai De L'Anse Inc.,"L'Anse-Saint-Jean,  QC G0V 1J0",Chefs,Unknown,1,1,6321
Quebec,Low Wage,Café Gentile Westmount,"Westmount,  QC H3Z 1P4",Cooks,Corporation,1,1,6322
Quebec,Low Wage,Café Luxor (Victoriaville) Ltéé,"Victoriaville,  QC G6P 4A2",Cooks,Unknown,1,1,6322
Quebec,Low Wage,Café Mon Petit Village.Inc,"Saint-Léonard,  QC H1S 1M8",Food service supervisors,Unknown,1,1,6311
Quebec,Low Wage,Café Vienne Neuro,"Montréal,  QC H4K 2Z2",Chefs,Corporation,1,1,6321
Quebec,Low Wage,Camions Excellence Peterbilt Inc,"Sainte-Julie,  QC J3E 1Z4","Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,7321
Quebec,Low Wage,Camions M.D.L. Inc,"Saint-Jean Baptiste,  QC J0L 2B0","Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,7321
Quebec,Low Wage,Camions Rouanda Inc.,"Rouyn-Noranda,  QC J9X 7B6","Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,1,7321
Quebec,Low Wage,Canac-Marquis Grenier Ltée,"Québec,  QC G2J 1C8",Material handlers,Unknown,1,1,7452
Quebec,Low Wage,Canadel Inc.,"Louiseville,  QC J5V 3A4",Industrial sewing machine operators,Unknown,2,2,9446
Quebec,Low Wage,Canadel Inc.,"Louiseville,  QC J5V 3A4",Furniture and fixture assemblers and inspectors,Unknown,1,1,9532
Quebec,Low Wage,Canards Du Lac Brome Ltee,"Knowlton,  QC J0E 1V0","Industrial butchers and meat cutters, poultry preparers and related workers",Unknown,5,33,9462
Quebec,Low Wage,Canards Du Lac Brome Ltee,"Knowlton,  QC J0E 1V0","Labourers in food, beverage and associated products processing",Unknown,2,19,9617
Quebec,Low Wage,Candide Villeneuve Paysagiste Inc.,"Québec,  QC G2N 1S6",Landscaping and grounds maintenance labourers,Unknown,1,2,8612
Quebec,Low Wage,Canevabec,"Sherbrooke,  QC J1N 1H2","Tailors, dressmakers, furriers and milliners",Unknown,1,1,6342
Quebec,Low Wage,Canmec,"La Baie,  QC G7B  3N",Machinists and machining and tooling inspectors,Corporation,1,1,7231
Quebec,Low Wage,Capitaine Burger Repentigny Restaurant Inc.,"Repentigny,  QC J6A 4X5",Cooks,Unknown,1,2,6322
Quebec,Low Wage,Capital Transit Inc.,"Québec,  QC G1N 4R7","Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1,6711
Quebec,Low Wage,Capital Transit Inc.,"Québec,  QC G1N 4R7","Janitors, caretakers and building superintendents",Unknown,1,1,6733
Quebec,Low Wage,Cargo Be-Nice Inc.,"Montréal,  QC H3L 2T2",Purchasing and inventory control workers,Unknown,1,1,1524
Quebec,Low Wage,Cari & Gingembre,"Val D'Or,  QC J9P 1R5","Labourers in food, beverage and associated products processing",Corporation,1,2,9617
Quebec,Low Wage,Caron & Guay Inc,"Beaupré,  QC G0A 1E0",Material handlers,Unknown,1,1,7452
Quebec,Low Wage,Carosserie J.J.L. Autos Inc.,"Saint-Hubert,  QC J3Y 6C7",Motor vehicle body repairers,Unknown,1,2,7322
Quebec,Low Wage,Carrier & Bégin Inc.,"Saint-Honoré-De-Shenley,  QC G0M 1V0",Sawmill machine operators,Unknown,2,8,9431
Quebec,Low Wage,Carrosserie 2005 Inc.,"Pointe-Aux-Trembles,  QC H1B 4B2",Motor vehicle body repairers,Unknown,1,1,7322
Quebec,Low Wage,Carrosserie All-Star Inc,"Magog,  QC J1X  7K",Motor vehicle body repairers,Sole Proprietorship,1,1,7322
Quebec,Low Wage,Carrosserie Du Nord N.V.Inc.,"Montreal,  QC H2W 1X5",Motor vehicle body repairers,Unknown,1,2,7322
Quebec,Low Wage,Carrosserie St-Anselme Inc.,"St-Anselme,  QC G0R 2N0",Motor vehicle body repairers,Unknown,1,1,7322
Quebec,Low Wage,Carrosserie St-Michel Inc.,"Montréal,  QC H1Z 3B9",Motor vehicle body repairers,Unknown,1,1,7322
Quebec,Low Wage,Carrosserie The Car Healers Inc.,"Laval,  QC H7C 2K5",Administrative assistants,Corporation,1,1,1241
Quebec,Low Wage,Carrosserie Vtl Inc,"Quebec,  QC G1N 3X6",Motor vehicle body repairers,Unknown,2,3,7322
Quebec,Low Wage,Carstar Québec Ouest-Garage Michaud Et Lejeune Inc,"Québec,  QC G1P 4P5",Motor vehicle body repairers,Unknown,1,1,7322
Quebec,Low Wage,Casa Grecque Drummondville,"Drummondville,  QC J2C  4N",Cooks,Corporation,2,2,6322
Quebec,Low Wage,Cascades Canada Ulc,"Kingsey-Falls,  QC J0A 1B0",Material handlers,Unknown,1,1,7452
Quebec,Low Wage,Cascades Canada Ulc,"Kingsey-Falls,  QC J0A 1B0",Plastics processing machine operators,Unknown,1,2,9422
Quebec,Low Wage,Cascades Canada Ulc,"Kingsey-Falls,  QC J0A 1B0",Paper converting machine operators,Unknown,2,6,9435
Quebec,Low Wage,Cascades Canada Ulc,"Kingsey-Falls,  QC J0A 1B0","Labourers in wood, pulp and paper processing",Unknown,2,2,9614
Quebec,Low Wage,Cascades Canada Ulc,"Kingsey-Falls,  QC J0A 1B0",Labourers in rubber and plastic products manufacturing,Unknown,1,4,9615
Quebec,Low Wage,Cassis Monna Et Filles,"Saint-Pierre-De-L'Île-D'Orléans,  QC G0A 4E0","Supervisors, food, beverage and associated products processing",Corporation,1,1,9213
Quebec,Low Wage,Cb3 Inc,"Saint-Bruno-De-Montarville,  QC J3V 3T7",Food service supervisors,Corporation,2,3,6311
Quebec,Low Wage,Cb3 Inc,"Saint-Bruno-De-Montarville,  QC J3V 3T7","Food counter attendants, kitchen helpers and related support occupations",Corporation,2,2,6711
Quebec,Low Wage,Cb3 Inc,"Saint-Bruno-De-Montarville,  QC J3V 3T7",Appliance servicers and repairers,Corporation,1,1,7332
Quebec,Low Wage,Centre Collision Hochelaga-Maisonneuve Inc.,"Montreal,  QC H1L 2L2",Motor vehicle body repairers,Unknown,1,4,7322
Quebec,Low Wage,Centre Communautaire Le Trait D'Union,"Longueuil,  QC J4L 4P1",Administrative officers,Unknown,1,1,1221
Quebec,Low Wage,Centre De Collision Montréal-Est Inc.,"Montreal,  QC H1B 1C4","Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2,7321
Quebec,Low Wage,Centre De Collision Montréal-Est Inc.,"Montreal,  QC H1B 1C4",Motor vehicle body repairers,Unknown,1,1,7322
Quebec,Low Wage,Centre De Communication Santé De L'Abitibi-Témiscamingue,"Rouyn-Noranda,  QC J9X 1E8",Dispatchers,Unknown,2,2,1525
Quebec,Low Wage,Centre De La Petite Enfance Mon Autre Maison Et Bureau Coordonnateur De La Garde En Milieu Familial,"Nicolet,  QC J3T 1B7",Early childhood educators and assistants,Unknown,1,1,4214
Quebec,Low Wage,Centre De Mecanique Et Alignement Champ D'Eau,"Montreal,  QC H1P 1Y1","Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,1,7321
Quebec,Low Wage,Centre De Mécanique Gagnon Inc.,"Montréal,  QC H1P 1X3","Automotive service technicians, truck and bus mechanics and mechanical repairers",Corporation,1,1,7321
Quebec,Low Wage,Centre De Médecine Intégrée Longueuil Inc,"Montréal,  QC H4R 1J9",Light duty cleaners,Sole Proprietorship,1,1,6731
Quebec,Low Wage,Centre De Médecine Intégrée St-Laurent,"St-Laurent,  QC H4R 1J9",Light duty cleaners,Unknown,1,1,6731
Quebec,Low Wage,Centre De Production Laflamme,"Sainte-Claire,  QC G0R 2V0",Machining tool operators,Unknown,1,3,9417
Quebec,Low Wage,Centre De Services E.A.K. Inc.,"Laval,  QC H7V 2W9",Retail salespersons,Unknown,1,2,6421
Quebec,Low Wage,Centre De Vacances Ferme 5 Étoiles,"Sacré-Coeur,  QC G0T 1Y0",Light duty cleaners,Corporation,1,1,6731
Quebec,Low Wage,Centre De Villégiature Et De Congrès De Lanaudière,"St-Jean-De-Matha,  QC J0K 2S0",Other services supervisors,Unknown,1,6,6316
Quebec,Low Wage,Centre De Villégiature Et De Congrès De Lanaudière,"St-Jean-De-Matha,  QC J0K 2S0",Light duty cleaners,Unknown,1,1,6731
Quebec,Low Wage,Centre D'Hébergement Et De Soins De Longue Durée Côté-Jardin Inc.,"Québec,  QC G1S 0A3","Nurse aides, orderlies and patient service associates",Sole Proprietorship,3,5,3413
Quebec,Low Wage,Centre Du Camion Gamache Inc.,"Île-Aux-Noix,  QC J0J 1G0",Motor vehicle body repairers,Unknown,1,1,7322
Quebec,Low Wage,Centre Du Sport Lac-St-Jean Inc.,"Chambord,  QC G0W 1G0",Storekeepers and partspersons,Unknown,1,1,1522
Quebec,Low Wage,Centre Intégré De Santé Et De Service Sociaux De La Montérégie-Ouest,"Chateauguay,  QC J6K 4W8","Nurse aides, orderlies and patient service associates",Unknown,5,5,3413
